species,charge,multiplicity,job,status
ligand_parent,0,1,opt_freq,planned
ligand_radical_site1,0,2,opt_freq,planned
ligand_radical_cation,1,2,opt_freq,planned
ligand_radical_anion,-1,2,opt_freq,planned
ligand_deprotonated_site1,-1,1,opt_freq,planned
ligand_parent,0,1,tddft,blocked_by_opt_freq
